month,closeLogDiff,diff(G1121846)_9,diff(G1000037)_12_abs,diff(G0008380)_1,logDiff(G0900698)_6_abs,logDiff(G1109167)_2_abs,logDiff(G1109077)_1
2008-09,-0.07769636521349305,217.0,1884.0,1.8,0.11778303565638337,0.007696044140168112,0.005298258978490011
2008-10,-0.043180424950078095,108.0,1782.4000000000015,0.7999999999999998,0.10212949507637958,0.011453399785219531,0.050148585159343284
2008-11,0.06164703846620581,131.0,2249.0999999999985,-2.6,0.14458122881110747,0.004884267270350406,-0.007836976044533372
2008-12,-0.020877263487020292,194.0,4855.0,0.8,0.16989903679539742,0.004051566184744004,-0.008497078027012606
2009-01,-0.03425088282349967,54.0,8881.45,1.7999999999999998,0.16705408466316607,0.00226975191310963,-0.00019175059458831356
2009-02,0.020671961606123807,-31.0,9055.0,-1.4,0.26662866325394874,0.010041882588986084,0.003613441948292717
2009-03,0.009534214313597522,23.0,9676.0,-0.6,0.35020242943311497,0.03130191215431388,-0.0025784414165528347
2009-04,0.03497393130977261,-11.0,7603.25,0.7000000000000001,0.4382549309311554,0.020018284965274802,-0.005199044576936984
2009-05,0.024777698780516166,-115.0,6682.0,-0.7000000000000001,0.5485659517488379,0.024525809964508483,0.005125871708941077
2009-06,0.00506181294384217,-176.0,7165.75,0.7999999999999999,0.5026288565618122,0.005254784836425941,-0.0007648714103609677
2009-07,0.012988789200087558,-40.0,6218.799999999999,0.10000000000000009,0.537142932083364,0.025524580934389363,-0.006692636732633872
2009-08,0.02060953275153571,-85.0,6245.299999999999,-0.6000000000000001,0.49247648509779407,0.03167417598686306,-0.004956278596836228
2009-09,0.01734744957926454,-110.0,4831.5,0.6000000000000001,0.5717863235556779,0.01392170932022374,-0.009348590786057542
2009-10,0.00735783358290204,2.0,11816.000000000002,-0.19999999999999996,0.8754687373538999,0.025231570915446255,-0.01053281134724493
2009-11,-0.02425467596440617,99.0,6972.5,-0.7000000000000001,1.0608719606852626,0.021690345646467435,0.00785243304174088
2009-12,-0.02085686583345181,41.0,3574.25,0.4,1.1192315758708453,0.008607221527347164,-0.004210530092862541
2010-01,-0.042066381734736646,42.0,82.0,0.19999999999999996,0.8622235106038795,0.0018384133445294992,-0.007875808363536407
2010-02,-0.007821709822320111,-27.0,780.0,-0.5,1.0116009116784799,0.008430523223655229,-0.0067706424102897955
2010-03,-0.010971669268079187,74.0,2781.25,-0.2,0.9162907318741551,0.007450806723111825,0.0036500660721738853
2010-04,-0.06904573124294874,39.0,2548.1000000000004,0.8,0.7339691750802005,0.0046970418402842995,0.03742960228406922
