month,closeLogDiff,diff(G1000037)_9_abs,diff(G0008003)_12_abs,diff(G0000029)_12,logDiff(G0001596)_12,P9918147_exp,diff(G1400003)_12_exp
2006-05,0.009699852825327121,1880.75,0.20000000000000018,0.19999999999999973,0.1469292379360123,54.598150033144236,1.8674818313042725
2006-06,0.04144228246652104,1280.3999999999996,0.20000000000000018,0.6000000000000001,0.15828251506978575,27.112638920657883,2.235547945158488
2006-07,0.023225824154310126,707.25,0.30000000000000027,0.6000000000000001,0.1660027505366557,24.532530197109352,2.1281181578387596
2006-08,0.021623632322872732,539.5,0.40000000000000013,0.6999999999999997,0.15644390308408873,44.701184493300815,1.820297592345906
2006-09,0.03995814226109218,2875.800000000001,0.10000000000000009,0.8999999999999999,0.12148031753570976,22.197951281441636,1.8914344280229225
2006-10,0.06821693652791044,3804.75,0.0,0.6000000000000001,0.08442847940323261,22.197951281441636,1.6777515693652878
2006-11,0.046694463526156194,3207.0,0.09999999999999987,0.5,0.07715794303405765,20.085536923187668,1.2760716860523622
2006-12,0.016701102655128808,1517.0,0.09999999999999987,0.3999999999999999,0.09757839100060473,18.17414536944306,1.5391156835802522
2007-01,0.05482158191822445,4322.0,0.30000000000000004,0.6000000000000001,0.00835762919833094,20.085536923187668,2.065388164389365
2007-02,0.03981887163177861,5258.0,0.30000000000000004,0.6000000000000001,0.08961126824293153,20.085536923187668,1.800240019177322
2007-03,0.04926189418919236,3137.2000000000007,0.30000000000000004,0.3999999999999999,0.1276733494311344,20.085536923187668,1.3653098823725238
2007-04,0.052017690061759325,4554.5,0.40000000000000013,0.0,0.08266252074760239,27.112638920657883,1.2897418799150207
2007-05,0.0831843247675485,5611.25,0.40000000000000013,-0.19999999999999973,0.1023841638195524,27.112638920657883,1.3986141006082937
2007-06,0.08070106814515965,5515.6,0.40000000000000013,-0.3999999999999999,0.059454070818810933,29.96410004739701,1.8455626662091453
2007-07,0.07048195080081615,9854.5,0.5000000000000002,-0.5,0.07218722565887958,29.96410004739701,1.746599920832738
2007-08,0.08035716326699294,11232.95,0.5000000000000002,-0.6999999999999997,0.05902657104640596,24.532530197109352,1.6346101700652773
2007-09,0.10940229520738515,6712.15,0.19999999999999996,-0.7999999999999998,0.155311852264564,22.197951281441636,1.7990865207590123
2007-10,0.1018862554688853,5881.75,0.10000000000000009,-0.5,0.2406018024197074,22.197951281441636,1.812601028127418
2007-11,0.05830349583842315,3202.5999999999985,0.30000000000000004,-0.30000000000000027,0.29290215475449344,29.96410004739701,1.6269976170966727
2007-12,0.06753576613863527,4838.65,0.4999999999999998,-0.20000000000000018,0.6036782667867087,29.96410004739701,1.7236102138632983
2008-01,0.06831450248555454,4261.25,0.7,-0.20000000000000018,0.4121152005628481,29.96410004739701,1.0838781127095012
2008-02,0.012840686396997258,3647.0,0.8,-0.40000000000000036,0.4048000197780599,36.59823444367799,0.9833604683061281
2008-03,-0.07837289860593799,2267.7999999999993,0.9000000000000001,-0.10000000000000009,0.4666350550356917,73.69979369959579,1.0228852112707965
2008-04,-0.17098124873221604,1648.0,0.9000000000000001,0.0,0.4142795830108117,121.51041751873485,1.063927219278295
