datetime,open,high,low,close
1971-01-10,1.13251,1.13433,1.12822,1.12866
1971-01-11,1.12865,1.13037,1.12682,1.12761
1971-01-12,1.12761,1.12891,1.12024,1.12104
1971-01-13,1.12103,1.1247,1.12036,1.12178
1971-01-14,1.12178,1.12428,1.11813,1.11936
1971-01-15,1.11926,1.12543,1.11871,1.12259
1971-01-16,1.12255,1.13172,1.12255,1.12916
1971-01-17,1.12913,1.13777,1.1283,1.13679
1971-01-18,1.13711,1.1404,1.1367,1.13978
1971-01-19,1.13979,1.1412,1.13441,1.13655
1971-01-20,1.13657,1.13911,1.13475,1.13683
1971-01-21,1.13684,1.13814,1.13477,1.13689
1971-01-22,1.13689,1.13932,1.1350500000000001,1.13693
1971-01-23,1.13609,1.13711,1.12808,1.12851
1971-01-24,1.1285,1.13218,1.12752,1.12857
1971-01-25,1.12847,1.13116,1.12686,1.12774
1971-01-26,1.12777,1.1295,1.12731,1.12847
1971-01-27,1.12837,1.12877,1.12075,1.12259
1971-01-28,1.1224,1.12343,1.12069,1.12142
1971-01-29,1.12141,1.12187,1.11932,1.1207799999999999
1971-01-30,1.12076,1.12642,1.12018,1.12503
1971-01-31,1.12503,1.12857,1.12451,1.1253199999999999
1971-02-01,1.1253199999999999,1.12748,1.1238299999999999,1.12696
1971-02-02,1.12691,1.12838,1.12531,1.12577
1971-02-03,1.12574,1.12634,1.12018,1.12103
1971-02-04,1.12102,1.12336,1.11997,1.12242
1971-02-05,1.12237,1.12804,1.12051,1.12765
1971-02-06,1.12766,1.1282,1.12033,1.12193
1971-02-07,1.1214,1.12252,1.12062,1.12094
1971-02-08,1.12093,1.12096,1.11458,1.11517
1971-02-09,1.11516,1.11557,1.11269,1.11399
1971-02-10,1.114,1.11877,1.11013,1.11467
1971-02-11,1.11464,1.11509,1.11118,1.11265
1971-02-12,1.11253,1.11509,1.11129,1.11443
1971-02-13,1.11443,1.11609,1.11321,1.11545
1971-02-14,1.11548,1.1162,1.10601,1.10749
1971-02-15,1.10749,1.10957,1.10269,1.10847
1971-02-16,1.10849,1.11163,1.10699,1.11045
1971-02-17,1.11096,1.12131,1.11046,1.12033
1971-02-18,1.1203400000000001,1.1249500000000001,1.11673,1.1198
1971-02-19,1.1198,1.12419,1.1179000000000001,1.11982
1971-02-20,1.1198,1.12327,1.11768,1.11801
1971-02-21,1.11802,1.12229,1.11793,1.12005
1971-02-22,1.11997,1.12306,1.11619,1.12131
1971-02-23,1.12129,1.12286,1.117,1.1171
1971-02-24,1.11708,1.11907,1.11305,1.11377
1971-02-25,1.1138,1.11584,1.10914,1.11065
1971-02-26,1.11065,1.11121,1.10663,1.1089
1971-02-27,1.1092,1.11137,1.1076,1.10778
1971-02-28,1.10773,1.11067,1.10654,1.10998
1971-03-01,1.10989,1.1107,1.108,1.10845
1971-03-02,1.10844,1.11131,1.10635,1.10799
1971-03-03,1.10798,1.11531,1.10515,1.11449
1971-03-04,1.11485,1.11639,1.10942,1.11018
1971-03-05,1.11018,1.11158,1.10856,1.10901
1971-03-06,1.10901,1.10978,1.10732,1.1077
1971-03-07,1.1077,1.10932,1.1042,1.1056300000000001
1971-03-08,1.1056300000000001,1.10602,1.0963,1.09935
1971-03-09,1.09895,1.09965,1.09579,1.09696
